DATE,UNRATE(%),CONSUMER CONF INDEX,PPI-CONST MAT.,CPIALLITEMS,INFLATION(%),MORTGAGE INT. MONTHLY AVG(%),MED HOUSEHOLD INCOME,CORP. BOND YIELD(%),MONTHLY HOME SUPPLY,% SHARE OF WORKING POPULATION,GDP PER CAPITA,QUARTERLY REAL GDP,QUARTERLY GDP GROWTH RATE (%),CSUSHPISA
1/5/2002,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409,6.75,4,66.59359495,37860,13477.356,0.615502456,120.724
1/6/2002,5.8,110.3,144.3,75.90172857,1.067415727,6.65,42409,6.63,4.2,66.59359495,37860,13477.356,0.615502456,121.813
1/7/2002,5.8,106.3,144.7,75.9861107,1.464788735,6.485,42409,6.53,4.2,66.59359495,38099,13531.741,0.403528704,122.889
1/8/2002,5.7,97.4,145.1,76.2392571,1.802816906,6.29,42409,6.37,4,66.59359495,38099,13531.741,0.403528704,123.831
1/9/2002,5.7,94.5,145.4,76.3658303,1.514301746,6.0925,42409,6.15,3.9,66.59359495,38099,13531.741,0.403528704,124.78
1/10/2002,5.7,93.7,145,76.4924035,2.025886322,6.1125,42409,6.32,4,66.59359495,38274,13549.421,0.130655767,125.734
1/11/2002,5.9,79.6,144.6,76.4924035,2.198421643,6.068,42409,6.31,4,66.59359495,38274,13549.421,0.130655767,126.669
1/12/2002,6,84.9,144.3,76.32363923,2.376910015,6.0475,42409,6.21,4,66.59359495,38274,13549.421,0.130655767,127.622
1/1/2003,5.8,80.7,144.4,76.66116776,2.597402587,5.916,43318,6.17,4,66.73921392,38584,13619.434,0.516723187,128.461
1/2/2003,5.9,78.8,145.2,77.25184269,2.980877387,5.8425,43318,5.95,4.5,66.73921392,38584,13619.434,0.516723187,129.356
1/3/2003,5.9,64.8,145.2,77.71594443,3.020134229,5.745,43318,5.89,4.1,66.73921392,38584,13619.434,0.516723187,130.148
1/4/2003,6,61.4,145.9,77.54718016,2.224694107,5.8125,43318,5.74,4.1,66.73921392,38976,13741.107,0.893377801,130.884
1/5/2003,6.1,81,145.8,77.42060696,2.057842048,5.484,43318,5.22,3.9,66.73921392,38976,13741.107,0.893377801,131.735
1/6/2003,6.3,83.6,146.1,77.50498909,2.112284595,5.23,43318,4.97,3.5,66.73921392,38976,13741.107,0.893377801,132.649
